omega,delta_chi2
3.704684684684685436e+01,3.100211810260490530e+00
3.712382382382382673e+01,3.255978649089138699e+00
3.720080080080080620e+01,3.593320323114272519e+00
3.727777777777778567e+01,4.097730932954236849e+00
3.735475475475475804e+01,4.741314386561365168e+00
3.743173173173173751e+01,5.483023583272312429e+00
3.750870870870871698e+01,6.269568159832398457e+00
3.758568568568568935e+01,7.037586861712031627e+00
3.766266266266266882e+01,7.717581347701619521e+00
3.773963963963964829e+01,8.239748015731034769e+00
3.781661661661662066e+01,8.541302747590474809e+00
3.789359359359360013e+01,8.574331737928888586e+00
3.797057057057057960e+01,8.312820276084769588e+00
3.804754754754755197e+01,7.757476602547987099e+00
3.812452452452453144e+01,6.937333045284225008e+00
3.820150150150151092e+01,5.907772507325391942e+00
3.827847847847848328e+01,4.745376377993665074e+00
3.835545545545546275e+01,3.540577195028903112e+00
3.843243243243244223e+01,2.389363850206235096e+00
3.850940940940941459e+01,1.385203630016849763e+00
3.858638638638639407e+01,6.120104566330843987e-01
3.866336336336336643e+01,1.385579948133227324e-01
3.874034034034034590e+01,1.435748164475409393e-02
3.881731731731732538e+01,2.667908705462587182e-01
3.889429429429429774e+01,8.992452108341036920e-01
3.897127127127127721e+01,1.890112478395287177e+00
3.904824824824825669e+01,3.192735366545034648e+00
3.912522522522522905e+01,4.736602058329230758e+00
3.920220220220220853e+01,6.430223307057755022e+00
3.927917917917918800e+01,8.166082563050622412e+00
3.935615615615616036e+01,9.827797850643383626e+00
3.943313313313313984e+01,1.129920237941900574e+01
3.951011011011011931e+01,1.247454277763986852e+01
3.958708708708709167e+01,1.326856653338587044e+01
3.966406406406407115e+01,1.362508404844675169e+01
3.974104104104105062e+01,1.352274176085036572e+01
3.981801801801802299e+01,1.297721150242202093e+01
3.989499499499500246e+01,1.203964992601565065e+01
3.997197197197198193e+01,1.079190950669720017e+01
4.004894894894895430e+01,9.339410272035275185e+00
4.012592592592593377e+01,7.802721702423085048e+00
4.020290290290290613e+01,6.308782264712500698e+00
4.027987987987988561e+01,4.982407398762106254e+00
4.035685685685686508e+01,3.938439431239860067e+00
4.043383383383383745e+01,3.274682983302602768e+00
4.051081081081081692e+01,3.065699448088313961e+00
4.058778778778779639e+01,3.357596120398765649e+00
4.066476476476476876e+01,4.164084578218771426e+00
4.074174174174174823e+01,5.464219235530782370e+00
4.081871871871872770e+01,7.202280894392886879e+00
4.089569569569570007e+01,9.290185223508235168e+00
4.097267267267267954e+01,1.161255819912744514e+01
4.104964964964965901e+01,1.403426752194884841e+01
4.112662662662663138e+01,1.640981539194574168e+01
4.120360360360361085e+01,1.859369086639835800e+01
4.128058058058059032e+01,2.045064096244322727e+01
4.135755755755756269e+01,2.186488769203975124e+01
4.143453453453454216e+01,2.274756204712809904e+01
4.151151151151152163e+01,2.304195676273311477e+01
4.158848848848849400e+01,2.272650928721807517e+01
4.166546546546547347e+01,2.181563196689104345e+01
4.174244244244244584e+01,2.035858036734477849e+01
4.181941941941942531e+01,1.843652328525202577e+01
4.189639639639640478e+01,1.615791620142660889e+01
4.197337337337337715e+01,1.365225446799384201e+01
4.205035035035035662e+01,1.106234009675913654e+01
4.212732732732733609e+01,8.535345365130904582e+00
4.220430430430430846e+01,6.213169339252130108e+00
4.228128128128128793e+01,4.222804753818576451e+00
4.235825825825826740e+01,2.667594083755767898e+00
4.243523523523523977e+01,1.620288700684709982e+00
4.251221221221221924e+01,1.118688073796268778e+00
4.258918918918919871e+01,1.164323125988126595e+00
4.266616616616617108e+01,1.724211642768559427e+00
4.274314314314315055e+01,2.735258662091320403e+00
4.282012012012013003e+01,4.110527122337273020e+00
4.289709709709710239e+01,5.746462870577849102e+00
4.297407407407408186e+01,7.530252119711796865e+00
4.305105105105106134e+01,9.346761760848638190e+00
4.312802802802803370e+01,1.108484399689811539e+01
4.320500500500501317e+01,1.264304398807831298e+01
4.328198198198199265e+01,1.393484029620162268e+01
4.335895895895896501e+01,1.489345467616854179e+01
4.343593593593594449e+01,1.547604820475519638e+01
4.351291291291291685e+01,1.566688151943923302e+01
4.358988988988989632e+01,1.547886985678110605e+01
4.366686686686687580e+01,1.495298510043292950e+01
4.374384384384384816e+01,1.415516613287354986e+01
4.382082082082082763e+01,1.317075713375067281e+01
4.389779779779780711e+01,1.209692117162281377e+01
4.397477477477477947e+01,1.103387245251055759e+01
4.405175175175175895e+01,1.007603293211930406e+01
4.412872872872873842e+01,9.304266644207249470e+00
4.420570570570571078e+01,8.780143377996939336e+00
4.428268268268269026e+01,8.542765872868420374e+00
4.435965965965966973e+01,8.608166795871284194e+00
4.443663663663664209e+01,8.970793795470333620e+00
4.451361361361362157e+01,9.606296516072042380e+00
4.459059059059060104e+01,1.047479074513092456e+01
4.466756756756757341e+01,1.152399107537773482e+01
4.474454454454455288e+01,1.269197688011688463e+01
4.482152152152153235e+01,1.390974087982078800e+01
4.489849849849850472e+01,1.510392398700910377e+01
4.497547547547548419e+01,1.620017644943634494e+01
4.505245245245245655e+01,1.712739582746655032e+01
4.512942942942943603e+01,1.782274772250657691e+01
4.520640640640641550e+01,1.823699572578559369e+01
4.528338338338338787e+01,1.833937940507908237e+01
4.536036036036036734e+01,1.812117638742627079e+01
4.543733733733734681e+01,1.759720368270973267e+01
4.551431431431431918e+01,1.680483214758200461e+01
4.559129129129129865e+01,1.580053482254564834e+01
4.566826826826827812e+01,1.465445920371874244e+01
4.574524524524525049e+01,1.344388634480538158e+01
4.582222222222222996e+01,1.224661231209297974e+01
4.589919919919920943e+01,1.113520543883491776e+01
4.597617617617618180e+01,1.017277673794523807e+01
4.605315315315316127e+01,9.410447964075110860e+00
4.613013013013014074e+01,8.886255946231480962e+00
4.620710710710711311e+01,8.624932552955899112e+00
4.628408408408409258e+01,8.637933116954448209e+00
4.636106106106107205e+01,8.923257062200921297e+00
4.643803803803804442e+01,9.464938151774431319e+00
4.651501501501502389e+01,1.023245232926367265e+01
4.659199199199199626e+01,1.118056516987943816e+01
4.666896896896897573e+01,1.225022242607131240e+01
4.674594594594595520e+01,1.337094806071903719e+01
4.682292292292292757e+01,1.446489977504529989e+01
4.689989989989990704e+01,1.545233934527003861e+01
4.697687687687688651e+01,1.625791607854820953e+01
4.705385385385385888e+01,1.681692904378888187e+01
4.713083083083083835e+01,1.708068090167284936e+01
4.720780780780781782e+01,1.702017256839267745e+01
4.728478478478479019e+01,1.662768199135458147e+01
4.736176176176176966e+01,1.591615520588009858e+01
4.743873873873874913e+01,1.491672219260471799e+01
4.751571571571572150e+01,1.367493793518509015e+01
4.759269269269270097e+01,1.224646854622186787e+01
4.766966966966968045e+01,1.069287196045542387e+01
