omega,delta_chi2
2.565425425425425843e+01,1.077409643768985958e+01
2.573123123123123435e+01,9.575377463938252731e+00
2.580820820820821382e+01,9.195699073782611421e+00
2.588518518518518974e+01,9.624008054797110745e+00
2.596216216216216566e+01,1.080402823181982974e+01
2.603913913913914513e+01,1.263527205463190484e+01
2.611611611611612105e+01,1.497882815139388946e+01
2.619309309309309697e+01,1.766746820896167947e+01
2.627007007007007644e+01,2.051860368336106788e+01
2.634704704704705236e+01,2.334813316525725213e+01
2.642402402402402828e+01,2.598331372148133767e+01
2.650100100100100420e+01,2.827332288960741380e+01
2.657797797797798367e+01,3.009690300654829898e+01
2.665495495495495959e+01,3.136713785507365415e+01
2.673193193193193551e+01,3.203381171211048439e+01
2.680890890890891498e+01,3.208386512608839070e+01
2.688588588588589090e+01,3.154024273889322316e+01
2.696286286286286682e+01,3.045908892598302486e+01
2.703983983983984629e+01,2.892500030231990849e+01
2.711681681681682221e+01,2.704406780069128047e+01
2.719379379379379813e+01,2.493479451591002061e+01
2.727077077077077405e+01,2.271756065109964240e+01
2.734774774774775352e+01,2.050389770838236458e+01
2.742472472472472944e+01,1.838717040708111838e+01
2.750170170170170536e+01,1.643616843474899980e+01
2.757867867867868483e+01,1.469256523819295523e+01
2.765565565565566075e+01,1.317236053453861189e+01
2.773263263263263667e+01,1.187054421414102023e+01
2.780960960960961614e+01,1.076756661756627764e+01
2.788658658658659206e+01,9.835960474730722325e+00
2.796356356356356798e+01,9.045690209393427494e+00
2.804054054054054390e+01,8.367419517832692222e+00
2.811751751751752337e+01,7.773684858435882639e+00
2.819449449449449929e+01,7.238679709419510999e+00
2.827147147147147521e+01,6.737757843559043280e+00
2.834844844844845468e+01,6.247726545216941929e+00
2.842542542542543060e+01,5.748546955045700457e+00
2.850240240240240652e+01,5.226353961473241938e+00
2.857937937937938599e+01,4.677003149803601545e+00
2.865635635635636191e+01,4.108904220259471884e+00
2.873333333333333783e+01,3.543888633626349538e+00
2.881031031031031375e+01,3.015317596943952960e+00
2.888728728728729322e+01,2.563424536721578662e+00
2.896426426426426914e+01,2.228729971900408557e+00
2.904124124124124506e+01,2.044966128379074544e+00
2.911821821821822454e+01,2.033104441397049822e+00
2.919519519519520045e+01,2.197768218471300994e+00
2.927217217217217637e+01,2.526673286673105423e+00
2.934914914914915585e+01,2.992988576327876071e+00
2.942612612612613177e+01,3.559854078746563566e+00
2.950310310310310769e+01,4.185883321242130251e+00
2.958008008008008360e+01,4.830386701325124044e+00
2.965705705705706308e+01,5.457282907726100696e+00
2.973403403403403900e+01,6.037144449992120521e+00
2.981101101101101492e+01,6.547406543234719933e+00
2.988798798798799439e+01,6.971277534556773681e+00
2.996496496496497031e+01,7.296170254614963824e+00
3.004194194194194623e+01,7.512456513823508431e+00
3.011891891891892570e+01,7.613066227302721423e+00
3.019589589589590162e+01,7.594027337447268877e+00
3.027287287287287754e+01,7.455627853863150634e+00
3.034984984984985346e+01,7.203616224637547916e+00
3.042682682682683293e+01,6.849822856209785371e+00
3.050380380380380885e+01,6.411783746915525661e+00
3.058078078078078477e+01,5.911294093798119320e+00
3.065775775775776424e+01,5.372180483525160533e+00
3.073473473473474016e+01,4.817822792536345489e+00
3.081171171171171608e+01,4.269006043277423501e+00
3.088868868868869555e+01,3.742544498705898892e+00
3.096566566566567147e+01,3.250867467615889073e+00
3.104264264264264739e+01,2.802486167173352971e+00
3.111961961961962331e+01,2.403056312441316678e+00
3.119659659659660278e+01,2.056657315367360628e+00
3.127357357357357870e+01,1.766930454784111149e+00
3.135055055055055462e+01,1.537826551358232541e+00
3.142752752752753409e+01,1.373860907410529908e+00
3.150450450450451001e+01,1.279909485336643948e+00
3.158148148148148593e+01,1.260669149699773728e+00
3.165845845845846540e+01,1.319933997985827334e+00
3.173543543543544132e+01,1.459821184252828585e+00
3.181241241241241724e+01,1.680039288662106944e+00
3.188938938938939316e+01,1.977256417907189423e+00
3.196636636636637263e+01,2.344608949086093297e+00
3.204334334334334500e+01,2.771395292813642275e+00
3.212032032032032447e+01,3.243010955294811648e+00
3.219729729729730394e+01,3.741186518928362403e+00
3.227427427427427631e+01,4.244577878306187380e+00
3.235125125125125578e+01,4.729725356464594910e+00
3.242822822822823525e+01,5.172350523376148423e+00
3.250520520520520762e+01,5.548906864051434518e+00
3.258218218218218709e+01,5.838253994200171881e+00
3.265915915915916656e+01,6.023294025721988909e+00
3.273613613613613893e+01,6.092398801316420531e+00
3.281311311311311840e+01,6.040470163652704727e+00
3.289009009009009077e+01,5.869510299362305616e+00
3.296706706706707024e+01,5.588629714181636565e+00
3.304404404404404971e+01,5.213478082818971515e+00
3.312102102102102208e+01,4.765139328746053948e+00
3.319799799799800155e+01,4.268580436762007047e+00
3.327497497497498102e+01,3.750780987435632596e+00
3.335195195195195339e+01,3.238697375894842523e+00
3.342892892892893286e+01,2.757232715558493030e+00
3.350590590590591233e+01,2.327389313882345601e+00
3.358288288288288470e+01,1.964771982918503745e+00
3.365985985985986417e+01,1.678583727468197839e+00
3.373683683683684364e+01,1.471209725821904346e+00
3.381381381381381601e+01,1.338425067956457992e+00
