folds,block,winner,name,family,degree,spline_smoothing_factor,a_failed,b_failed,failed,a_total_poisson_deviance,b_total_poisson_deviance,a_deviance_per_bin,b_deviance_per_bin,combined_validation_bins,combined_total_poisson_deviance,combined_deviance_per_bin
5,24,spline_s2,cheb_d5,chebyshev,5,1.0,,,,4326.902750675525,8670.622568282704,15.076316204444337,30.211228460915347,574,12997.525318958229,22.64377233267984
5,24,spline_s2,cheb_d6,chebyshev,6,1.0,,,,9135.794796524353,21150.87981888286,31.83203761855175,73.69644536196118,574,30286.67461540721,52.76424149025646
5,24,spline_s2,cheb_d7,chebyshev,7,1.0,,,,3249928.6887402125,3167529.3324568816,11323.793340558232,11036.687569536172,574,6417458.021197094,11180.240455047202
5,24,spline_s2,cheb_d8,chebyshev,8,1.0,,,,106923437.9057501,2648299.92470949,372555.53277264844,9227.52587006791,574,109571737.83045958,190891.52932135816
5,24,spline_s2,cheb_d9,chebyshev,9,1.0,,,,2199833.5828594393,1436.6861835761833,7664.925375816862,5.0058752040982,574,2201270.2690430153,3834.9656255104796
5,24,spline_s2,cheb_d10,chebyshev,10,1.0,,,,2193705.31386972,1325063.1518881186,7643.572522194146,4616.944780097974,574,3518768.4657578385,6130.25865114606
5,24,spline_s2,cheb_d11,chebyshev,11,1.0,,,,17942.760691009877,35984350636.31231,62.51832993383232,125381012.67007773,574,35984368579.073,62690537.59420383
5,24,spline_s2,cheb_d12,chebyshev,12,1.0,,,,2.226020514328664e+22,3.1820887349383666e+22,7.756169039472697e+19,1.10874171949072e+20,574,5.40810924926703e+22,9.421793117189947e+19
5,24,spline_s2,bernstein_d5,bernstein,5,1.0,,,,4326.90275067545,8670.622568282779,15.076316204444076,30.211228460915606,574,12997.525318958229,22.64377233267984
5,24,spline_s2,bernstein_d7,bernstein,7,1.0,,,,3249928.6887405263,3167529.3324568714,11323.793340559325,11036.687569536138,574,6417458.021197397,11180.240455047731
5,24,spline_s2,bernstein_d9,bernstein,9,1.0,,,,2199833.582858888,1436.6861835762688,7664.925375814941,5.005875204098498,574,2201270.2690424644,3834.96562550952
