label,start,size,candidate,analysis_bins,background_fit_bins,residual_rms,residual_max_abs,fixed_omega_amplitude,fixed_omega_phase,fixed_omega_delta_chi2,phase_offset_from_prediction,locked_signed_amplitude,locked_delta_chi2,locked_local_p_one_sided,positive_sign
G1,288,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.7278731596060646,8.48113069317991,0.9481454047004804,-0.15083615734632244,118.20183489700071,0.08055552794689547,0.9391197999311036,117.33850957814741,1.2101262711596972e-27,True
G1,289,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7074965734615104,8.306776369416689,0.9479533314778826,-0.14032391235772623,118.0556096569369,0.09106777293549168,0.9372804438257769,116.95401113365574,1.4690091798931324e-27,True
G1,290,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.7102055343401767,8.249625506420825,0.9522615605043214,-0.1277213820764419,119.00847419500064,0.103670303216776,0.9394257181812442,117.56991651845397,1.0768630673985724e-27,True
G1,291,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.710298743053698,8.249693263560223,0.9521085839026864,-0.12740790017308695,119.04660829978695,0.10398378512013096,0.9392178373248845,117.60069203521641,1.0602829019891753e-27,True
G1,292,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.7087111718635746,8.240649073633632,0.9488157189178932,-0.12925547047398483,118.33762042796991,0.10213621481923309,0.9362942667270645,116.95288391356155,1.469844328641044e-27,True
G1,293,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.7271824451758968,8.472119308821599,0.9390386858847454,-0.15259717316510552,116.3614593327984,0.07879451212811238,0.9303496222446396,115.55352102837708,2.9765272109934138e-27,True
G1,294,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7022880868844785,8.276643133831048,0.9462616256103887,-0.14422386358752703,118.10723788257258,0.08716782170569087,0.9362552946410414,117.10415557929116,1.3619056901970273e-27,True
G1,295,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.7278405108126844,8.478851123005896,0.9385048902539657,-0.1521443286593653,116.38413129094079,0.07924735663385261,0.9298028704407709,115.56859258450697,2.9539916272740295e-27,True
G1,296,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.7095439065799785,8.241676052823552,0.9489695709332574,-0.12870949161139938,118.69879788836943,0.10268219368181852,0.9364786599400607,117.30140333048882,1.2329792409857597e-27,True
G1,297,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.7072656413520608,8.225394468212942,0.9474474166568019,-0.1311595229180198,118.42718251679605,0.10023216237519811,0.9354391275766555,117.10010861976707,1.3646874633418831e-27,True
G1,298,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7482973615783444,8.954103684863027,0.9290204017986947,-0.13253176457180502,113.9460796411147,0.09885992072141289,0.9175223991035261,112.70496015293986,1.2519759614952506e-26,True
G1,299,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.703909162468337,8.260680353001941,0.9519043385091974,-0.14349479593964862,119.85277689497934,0.08789688935356929,0.9419366587542863,118.82214114643205,5.72769857778383e-28,True
G1,300,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.7067207249350893,8.216877538936396,0.9481734274158876,-0.1322738129361777,118.7850307685884,0.0991178723570402,0.936513818084251,117.48563674095203,1.1236078825811763e-27,True
G1,301,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7479806911092903,8.948377486334422,0.9264968745858946,-0.13531497016832877,113.48934352772267,0.09607671512488913,0.9156453563394931,112.32332145159216,1.5177204348172813e-26,True
G1,302,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.7099468327035414,8.242853781984307,0.9480682755516365,-0.13068010001695454,118.78579891808863,0.10071158527626337,0.9362696139253087,117.44438046881419,1.1472246852995266e-27,True
G1,303,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.708817760059864,8.230550412595791,0.9487499683702754,-0.13178001182910712,118.98016304151793,0.09961167346411079,0.9371811548603179,117.6655545652967,1.0261698691558254e-27,True
G1,304,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.7099853446778832,8.242769714973479,0.9482467811948198,-0.13158143001543118,118.8462960131418,0.09981025527778672,0.9367056903271621,117.5274026944403,1.100194564471529e-27,True
G1,305,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.713103079928659,8.472635273368128,0.9317545136453185,-0.13127980642108025,114.72821211435598,0.10011187887213766,0.9204139169155863,113.44657898874095,8.613020138680586e-27,True
G1,306,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7493447817567094,8.970434997756698,0.923512833988094,-0.13907065099687924,112.78752717085354,0.09232103429633866,0.9135151693669593,111.71575484526215,2.0619626955083124e-26,True
G1,307,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,272,1.8591723829258784,10.352867525721273,0.8698792542125819,-0.2197617223912509,101.09257498676004,0.011629962901966995,0.869103504049218,101.0774346709643,4.4228444858278805e-24,True
G1,308,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,272,1.8650884181755454,10.44639809882445,0.8629525447777145,-0.2251222593548515,99.51917696724001,0.0062694259383664075,0.8625536938555207,99.51484435631346,9.734926713656924e-24,True
G1,309,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.7073263457962131,8.210436011046845,0.9535259056546727,-0.13293868046066043,120.01172461110411,0.09845300483255748,0.9423098432180991,118.71065424824951,6.058843972272065e-28,True
G1,310,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7572167424376814,9.225270219329035,0.9001095174774422,-0.15131636406195967,107.1251822838135,0.08007532123125824,0.8921625904500462,106.35693773646074,3.079073151320745e-25,True
G1,311,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.6985681754033308,8.472635273368128,0.914725097859658,-0.13213054247564227,110.32213437371422,0.09926114281757563,0.9038474295675835,109.10368545669928,7.700746909051341e-26,True
G1,312,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,273,1.8271750893970164,10.15330191099377,0.8663587945732151,-0.1956819771560475,99.70000986911612,0.03570970813717042,0.8636277506587943,99.55806417119436,9.524784116799082e-24,True
G1,313,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.7162691714059228,8.978125254817165,0.8936215626040738,-0.12968034744508808,105.14911322345836,0.10171133784812983,0.8825934930896252,103.92699196875321,1.0495509656200573e-24,True
